Item ID,Index,Item Text
34,Balance,DWS encourages and promotes a reasonable balance between my work and personal life.
35,Balance,The level of stress in my job is manageable.
36,Balance,My overall stress levels at work and home are manageable.
37,Balance,I feel successful in my personal life at this time.
38,Balance,I feel successful in my role at DWS.
39,Balance,I can fully disconnect from work when I want to.
40,Balance,My current work schedule is sustainable for my professional and personal life.
41,Balance,The current work schedule is ideal for my team to be effective.
1,Culture,DWS invests in the future of its people and provides opportunities for growth.
2,Culture,People at DWS communicate honestly and follow through on commitments.
3,Culture,People at DWS are allowed to challenge the norm and be creative with solutions.
4,Culture,People at DWS take ownership and hold themselves accountable to strive for perfection
5,Culture,People at DWS trust and encourage each other
6,Culture,Our team receives good cooperation & support from other teams at DWS
7,Culture,Adequate measures are taken to ensure employee safety.
8,Culture,"Senior leadership's behavior is consistent with our mission, vision, & values."
9,Culture,Senior leadership understands and appreciates our work.
25,Daily Work,DWS provides me with what I need to achieve my goals.
27,Daily Work,I have been adequately trained for my daily work.
30,Daily Work,I have the tools and resources I need to do my job well.
33,Daily Work,The people on my team take accountability for results.
45,Daily Work,I am confident in my ability to handle competing demands at work.
47,Daily Work,I can make meaningful decisions about how I do my job.
48,Daily Work,DWS recognizes and acknowledges my value and impact.
50,Daily Work,There is a clear link between what I do and the organizational objectives.
60,Daily Work,My team helps new people become successful in their roles.
22,Engage,I understand what it means to be successful at DWS.
23,Engage,I feel proud of what I accomplish here at DWS.
24,Engage,I find my work to be challenging and fulfilling.
31,Engage,My team has mutual respect for one another.
32,Engage,The people on my team work well as a unit.
61,Engage,My health and well-being are a top priority for DWS.
10,Intent,I am proud to be a DWS employee.
11,Intent,I am confident that DWS has a successful future.
12,Intent,The pay and benefits I receive fairly reflect my role and contributions at DWS.
13,Intent,"I would choose to stay at DWS, even if a job with similar benefits were available."
14,Intent,I would recommend this organization as a great place to work.
16,Supervisor,My supervisor promotes a safe work environment.
19,Supervisor,My supervisor regularly recognizes my efforts and contributions.
21,Supervisor,My supervisor treats my team fairly and respectfully.
51,Supervisor,My supervisor is open to new ideas and trusts the team to get the job done.
52,Supervisor,My supervisor is proactive and clear when they communicate with the team
53,Supervisor,My supervisor leads by example and sets a positive tone for the team
54,Supervisor,My supervisor invests in me and supports my efforts to improve and grow.
55,Supervisor,My supervisor represents our team/department well within DWS.
56,Supervisor,My supervisor gives me honest and constructive feedback on a regular basis.
57,Supervisor,My supervisor holds people accountable in a respectful manner.
,,
42,Comment,What are the greatest strengths of DWS?
43,Comment,What is one change you'd like to see at DWS?
62,Comment,"If you have multiple reporting supervisors, please feel free to provide examples for your answers above."
80,Comment,"If you have any additional comments or questions regarding the recent acquisition, please share them here."
81,Comment,List three words that you associate with DWS.
